case_number,unit_ref,unit_build_year,case_status,case_type,case_sub_type,case_create_date
Case31,Unit6957,2008,Resolved,Query,,20/05/2019 14:39
Case32,Unit6693,1995,Resolved,Query,,20/05/2019 14:47
Case33,Unit6351,2011,Resolved,Home Ownership,Up To You Resale,20/05/2019 14:54
Case34,Unit6357,2000,Resolved,Query,,20/05/2019 15:01
Case35,Unit1934,2015,Resolved,Query,,20/05/2019 15:07
Case36,Unit6347,2011,Resolved,Home Ownership,Up To You Resale,20/05/2019 15:17
Case37,Unit37,2005,Resolved,Query,,20/05/2019 15:22
Case38,Unit5751,2011,Resolved,Home Ownership,Up To You Resale,20/05/2019 15:25
Case39,Unit3167,2004,Resolved,Query,,20/05/2019 15:45
Case40,Unit5008,1997,Resolved,Complaints,,20/05/2019 15:45
Case41,Unit7527,1965,Resolved,Complaints,,20/05/2019 15:52
Case42,Unit3655,2018,Resolved,Query,,20/05/2019 16:08
Case43,Unit3423,1935,Resolved,No Access,Gas,21/05/2019 06:00
Case44,Unit1331,2011,Resolved,No Access,Gas,21/05/2019 06:00
Case45,Unit9085,1990,Resolved,No Access,Gas,21/05/2019 06:00
Case46,Unit6975,1900,Resolved,No Access,Gas,21/05/2019 06:00
Case47,Unit3924,1994,Resolved,No Access,Gas,21/05/2019 06:00
Case48,Unit4518,1960,Resolved,No Access,Gas,21/05/2019 06:00
Case49,Unit8232,1998,Resolved,Complaints,,21/05/2019 07:17
Case50,Unit7467,1930,Resolved,Query,,21/05/2019 07:26
Case51,Unit8183,1960,Resolved,Home Ownership,Landlord Enquiry,21/05/2019 07:52
Case52,Unit2707,2008,Resolved,Complaints,,21/05/2019 08:17
Case53,Unit5755,1920,Resolved,Complaints,,21/05/2019 08:47
Case54,Unit2790,2013,Resolved,Tenancy Change,,21/05/2019 08:49
Case55,Unit6312,1919,Resolved,ASB,,21/05/2019 08:49
Case56,Unit8671,1993,Resolved,Query,,21/05/2019 09:04
Case57,Unit5757,,Resolved,Home Ownership,Lease Extensions,21/05/2019 09:15
Case58,Unit5600,1900,Resolved,Query,,21/05/2019 09:25
Case59,Unit799,1980,Resolved,Query,,21/05/2019 09:42
Case60,Unit6495,1940,Resolved,Query,,21/05/2019 09:53
Case61,Unit2902,2017,Resolved,Service Charges,Invoice/Breakdown Request,21/05/2019 10:02
Case62,Unit8599,1990,Resolved,Query,,21/05/2019 10:04
Case63,Unit9232,1890,Resolved,ASB,,21/05/2019 10:18
Case64,Unit5052,1953,Resolved,Query,,21/05/2019 10:20
Case65,Unit6685,1954,Resolved,Query,,21/05/2019 10:30
Case66,Unit8441,2000,Resolved,ASB,,21/05/2019 11:12
Case67,Unit5829,2008,Resolved,Query,,21/05/2019 11:18
Case68,Unit3150,1994,Resolved,Query,,21/05/2019 11:25
Case69,Unit7109,1987,Resolved,Death of Tenant,,21/05/2019 11:38
Case70,Unit4164,1997,Resolved,Query,,21/05/2019 11:42
Case71,Unit6126,1880,Resolved,ASB,,21/05/2019 11:46
Case72,Unit1348,2012,Resolved,Query,,21/05/2019 11:54
Case73,Unit8939,1955,Resolved,ASB,,21/05/2019 12:07
Case74,Unit9641,1960,Resolved,Rehousing,Permanent,21/05/2019 12:35
Case75,Unit1753,2001,Resolved,Service Charges,Calculation/Apportionment Query,21/05/2019 12:48
Case76,Unit3783,1952,Resolved,Query,,21/05/2019 13:01
Case77,Unit5874,1951,Resolved,Query,,21/05/2019 13:09
Case78,Unit9539,1948,Resolved,MP/Councillor Enquiry,Direct Maintenance,21/05/2019 13:34
Case79,Unit8509,2018,Resolved,No Access,H&S Other,21/05/2019 13:39
Case80,Unit1743,2005,Resolved,Query,,21/05/2019 13:50
Case81,Unit3280,1890,Resolved,Disrepair,Legal Disrepair,21/05/2019 13:50
Case82,Unit123,1890,Resolved,ASB,,21/05/2019 14:31
Case83,Unit4714,1980,Resolved,Income,Account Enquiry,21/05/2019 14:51
Case84,Unit7372,2013,Resolved,Service Charges,Calculation/Apportionment Query,21/05/2019 14:59
Case85,Unit7066,1900,Resolved,Complaints,,21/05/2019 14:59
Case86,Unit3987,2008,Resolved,Complaints,,21/05/2019 15:36
Case87,Unit4722,1890,Resolved,MP/Councillor Enquiry,Housing Management,21/05/2019 16:29
Case88,Unit9190,1970,Resolved,Query,,21/05/2019 21:32
Case89,Unit5417,2005,Resolved,No Access,Gas,22/05/2019 06:00
Case90,Unit8286,1960,Resolved,No Access,Gas,22/05/2019 06:00
Case91,Unit9796,1995,Resolved,No Access,Gas,22/05/2019 06:00
Case92,Unit6892,1890,Resolved,No Access,Gas,22/05/2019 06:00
Case93,Unit8298,2006,Resolved,No Access,Gas,22/05/2019 06:00
Case94,Unit4094,1999,Resolved,No Access,Gas,22/05/2019 06:00
Case95,Unit9698,2002,Resolved,No Access,Gas,22/05/2019 06:00
Case96,Unit3127,1890,Resolved,No Access,Gas,22/05/2019 06:00
Case97,Unit8230,2005,Resolved,ASB,,22/05/2019 07:08
Case98,Unit5980,1900,Resolved,Direct Maintenance,Follow on,22/05/2019 07:25
Case99,Unit8230,2005,Resolved,Query,,22/05/2019 07:33
Case100,Unit5835,1910,Resolved,Income,Account Enquiry,22/05/2019 07:50
Case101,Unit8230,2005,Resolved,ASB,,22/05/2019 07:59
Case102,Unit3486,1960,Resolved,Complaints,,22/05/2019 08:25
Case103,Unit3181,2013,Resolved,Query,,22/05/2019 08:31
Case104,Unit2915,1970,Resolved,Query,,22/05/2019 09:08
Case105,Unit7624,1965,Resolved,Income,Account Enquiry,22/05/2019 09:56
Case106,Unit7896,1992,Resolved,Income,Account Enquiry,22/05/2019 10:17
Case107,Unit3051,2008,Resolved,Income,,22/05/2019 10:22
Case108,Unit3302,2009,Resolved,Service Charges,Calculation/Apportionment Query,22/05/2019 10:33
Case109,Unit1376,2006,Resolved,Income,Account Enquiry,22/05/2019 10:33
Case110,Unit3429,1947,Resolved,Disrepair,Legal Disrepair,22/05/2019 10:46
Case111,Unit6307,1993,Resolved,Complaints,,22/05/2019 10:46
Case112,Unit4778,1990,Resolved,Income,Direct Debit Enquiry,22/05/2019 10:46
Case113,Unit4569,1989,Resolved,ASB,,22/05/2019 11:00
Case114,Unit2011,,Resolved,Income,Payment Enquiry,22/05/2019 11:08
Case115,Unit1334,2011,Resolved,Income,Direct Debit Enquiry,22/05/2019 11:15
Case116,Unit4147,2006,Resolved,Query,,22/05/2019 11:31
Case117,Unit6581,1900,Resolved,Query,,22/05/2019 11:45
Case118,Unit4458,1990,Resolved,Query,,22/05/2019 11:58
Case119,Unit3163,2016,Resolved,Service Charges,Calculation/Apportionment Query,22/05/2019 12:20
Case120,Unit8485,1960,Resolved,ASB,,22/05/2019 12:53
Case121,Unit5980,1900,Resolved,Query,,22/05/2019 13:09
Case122,Unit9151,,Resolved,Home Ownership,Staircasing,22/05/2019 13:14
Case123,Unit1614,1981,Resolved,Query,,22/05/2019 13:32
Case124,Unit1710,1899,Resolved,Income,Account Enquiry,22/05/2019 13:37
Case125,Unit1544,,Resolved,Service Charges,Calculation/Apportionment Query,22/05/2019 13:42
Case126,Unit7301,1965,Resolved,Income,Payment Enquiry,22/05/2019 13:45
Case127,Unit1710,1899,Resolved,Income,,22/05/2019 13:46
Case128,Unit8886,2008,Resolved,Query,,22/05/2019 13:51
Case129,Unit3028,2014,Resolved,Complaints,,22/05/2019 14:00
Case130,Unit5109,1977,Resolved,Query,,22/05/2019 14:19
Case131,Unit3105,2013,Resolved,Income,Account Enquiry,22/05/2019 14:29
Case132,Unit6773,2010,Resolved,Query,,22/05/2019 14:32
Case133,Unit6339,2014,Resolved,Income,Service Charge Query,22/05/2019 14:38
Case134,Unit2189,2008,Resolved,Income,Direct Debit Enquiry,22/05/2019 14:51
Case135,Unit8793,2012,Resolved,Complaints,,22/05/2019 14:52
Case136,Unit3027,2013,Resolved,Income,Service Charge Query,22/05/2019 15:32
Case137,Unit7422,1910,Resolved,Query,,22/05/2019 15:37
Case138,Unit4383,1970,Resolved,ASB,,22/05/2019 15:40
Case139,Unit9773,1970,Resolved,No Access,Gas,23/05/2019 06:00
Case140,Unit7465,1996,Resolved,No Access,Gas,23/05/2019 06:00
Case141,Unit2309,2013,Resolved,Complaints,,23/05/2019 07:50
Case142,Unit4494,2016,Resolved,Service Charges,Calculation/Apportionment Query,23/05/2019 08:22
Case143,Unit1963,1910,Resolved,Query,,23/05/2019 08:26
Case144,Unit5592,2013,Resolved,Query,,23/05/2019 08:39
Case145,Unit7079,1899,Resolved,Complaints,,23/05/2019 08:46
Case146,Unit1180,2013,Resolved,Complaints,,23/05/2019 09:25
Case147,Unit2215,,Resolved,Income,Payment Enquiry,23/05/2019 09:34
Case148,Unit1330,2004,Resolved,ASB,,23/05/2019 09:38
Case149,Unit4562,1890,Resolved,Complaints,,23/05/2019 09:45
Case150,Unit123,1890,Resolved,ASB,,23/05/2019 09:50
Case151,Unit985,2006,Resolved,Query,,23/05/2019 09:51
Case152,Unit9767,2011,Resolved,Home Ownership,Resales,23/05/2019 09:53
Case153,Unit6071,1982,Resolved,Query,,23/05/2019 09:54
Case154,Unit86,1890,Resolved,Complaints,,23/05/2019 10:03
Case155,Unit8377,1965,Resolved,Complaints,,23/05/2019 10:10
Case156,Unit6184,2005,Resolved,ASB,,23/05/2019 10:17
Case157,Unit7836,2006,Resolved,Query,,23/05/2019 10:25
Case158,Unit5355,2016,Resolved,Query,,23/05/2019 10:39
Case159,Unit5301,1970,Resolved,Query,,23/05/2019 10:51
Case160,Unit4779,1995,Resolved,Income,Account Enquiry,23/05/2019 11:04
Case161,Unit5890,2017,Resolved,Query,,23/05/2019 11:21
Case162,Unit2457,1988,Resolved,Complaints,,23/05/2019 11:32
Case163,Unit8595,1970,Resolved,Income,Account Enquiry,23/05/2019 11:33
Case164,Unit3033,,Active,Income,Tenancy Enquiry,23/05/2019 11:47
Case165,Unit6314,2015,Resolved,Query,,23/05/2019 11:58
Case166,Unit9452,2012,Resolved,Complaints,,23/05/2019 12:05
Case167,Unit2818,2013,Resolved,Complaints,,23/05/2019 12:07
Case168,Unit7649,1994,Resolved,Complaints,,23/05/2019 12:23
Case169,Unit3383,1986,Resolved,Query,,23/05/2019 12:28
Case170,Unit7367,2007,Resolved,Income,Account Enquiry,23/05/2019 12:35
Case171,Unit4494,2016,Resolved,Income,Account Enquiry,23/05/2019 12:53
Case172,Unit7209,2016,Resolved,Direct Maintenance,Further Information Required,23/05/2019 13:23
Case173,Unit122,1940,Resolved,Direct Maintenance,Further Information Required,23/05/2019 13:42
Case174,Unit5469,2005,Resolved,Service Charges,Invoice/Breakdown Request,23/05/2019 14:28
Case175,Unit3894,2002,Resolved,Income,Account Enquiry,23/05/2019 14:29
Case176,Unit5558,2015,Resolved,Income,Tenancy Enquiry,23/05/2019 14:41
Case177,Unit3923,2010,Resolved,Home Ownership,Landlord Enquiry,23/05/2019 14:48
Case178,Unit2888,2015,Resolved,Service Charges,Invoice/Breakdown Request,23/05/2019 15:09
Case179,Unit8173,,Resolved,Query,,23/05/2019 15:12
Case180,Unit6066,1965,Resolved,Query,,23/05/2019 15:16
Case181,Unit5850,1989,Resolved,Query,,23/05/2019 15:25
Case182,Unit4260,2012,Resolved,Home Ownership,Landlord Enquiry,23/05/2019 15:38
Case183,Unit612,2008,Resolved,Service Charges,Invoice/Breakdown Request,23/05/2019 15:43
Case184,Unit8160,,Resolved,Home Ownership,Landlord Enquiry,23/05/2019 15:47
Case185,Unit8695,1860,Resolved,Direct Maintenance,,23/05/2019 16:07
Case186,Unit3670,2005,Resolved,Income,Refund Enquiry,23/05/2019 17:48
Case187,Unit8695,1860,Resolved,Complaints,,23/05/2019 18:07
Case188,Unit8695,1860,Resolved,Query,,23/05/2019 18:13
Case189,Unit7178,1890,Resolved,No Access,Gas,24/05/2019 06:00
Case190,Unit9308,2008,Resolved,No Access,Gas,24/05/2019 06:00
Case191,Unit123,1890,Resolved,Query,,24/05/2019 07:52
Case192,Unit8077,1882,Resolved,Query,,24/05/2019 08:01
Case193,Unit5596,2008,Resolved,Service Charges,Calculation/Apportionment Query,24/05/2019 08:08
Case194,Unit3695,1954,Resolved,Income,Payment Enquiry,24/05/2019 08:28
Case195,Unit8976,2008,Resolved,Complaints,,24/05/2019 08:38
Case196,Unit5046,2011,Resolved,Income,Payment Enquiry,24/05/2019 08:52
Case197,Unit3665,2017,Resolved,Service Charges,Calculation/Apportionment Query,24/05/2019 09:07
Case198,Unit1583,1989,Resolved,Direct Maintenance,Follow on,24/05/2019 09:08
Case199,Unit9484,1890,Resolved,Income,Account Enquiry,24/05/2019 09:09
Case200,Unit2217,1950,Resolved,Income,Account Enquiry,24/05/2019 09:26
Case201,Unit9063,1980,Resolved,Query,,24/05/2019 09:27
Case202,Unit2476,2017,Resolved,Query,,24/05/2019 09:28
Case203,Unit3121,1986,Resolved,Query,,24/05/2019 09:43
Case204,Unit1890,2016,Resolved,Home Ownership,Landlord Enquiry,24/05/2019 09:59
Case205,Unit6660,2000,Resolved,Query,,24/05/2019 10:33
Case206,Unit3318,1890,Resolved,Income,Tenancy Enquiry,24/05/2019 10:38
Case207,Unit1589,2016,Resolved,Query,,24/05/2019 10:42
Case208,Unit3337,1890,Resolved,Query,,24/05/2019 11:03
Case209,Unit7241,2004,Resolved,Query,,24/05/2019 11:16
Case210,Unit1179,1890,Resolved,Query,,24/05/2019 11:23
Case211,Unit4871,1991,Resolved,Service Charges,Invoice/Breakdown Request,24/05/2019 11:59
Case212,Unit4541,1999,Resolved,Query,,24/05/2019 12:08
Case213,Unit3708,1992,Resolved,Query,,24/05/2019 12:11
Case214,Unit6126,1880,Resolved,ASB,,24/05/2019 12:16
Case215,Unit791,1958,Resolved,Query,,24/05/2019 12:22
Case216,Unit1589,2016,Resolved,Query,,24/05/2019 12:28
Case217,Unit7521,1910,Resolved,Tenancy Change,,24/05/2019 12:35
Case218,Unit7521,1910,Resolved,Tenancy Change,,24/05/2019 12:58
Case219,Unit7676,,Resolved,Service Charges,Invoice/Breakdown Request,24/05/2019 13:02
Case220,Unit3369,1890,Resolved,Complaints,,24/05/2019 13:07
Case221,Unit7321,2000,Resolved,Query,,24/05/2019 13:10
Case222,Unit8831,1990,Resolved,ASB,,24/05/2019 13:32
Case223,Unit5069,2015,Resolved,Query,,24/05/2019 13:58
Case224,Unit927,2012,Resolved,Query,,24/05/2019 14:18
Case225,Unit6059,2002,Resolved,Income,Direct Debit Enquiry,24/05/2019 14:22
Case226,Unit6006,2012,Resolved,Query,,24/05/2019 14:24
Case227,Unit1108,1950,Resolved,Query,,24/05/2019 14:41
Case228,Unit3426,1998,Resolved,Query,,24/05/2019 14:47
Case229,Unit3708,1992,Resolved,Rehousing,Permanent,24/05/2019 14:59
Case230,Unit7672,1993,Resolved,Query,,24/05/2019 15:02
Case231,Unit2480,2018,Resolved,Rehousing,,24/05/2019 15:15
Case232,Unit9600,2018,Resolved,Query,,24/05/2019 15:29
Case233,Unit4976,2012,Resolved,Query,,24/05/2019 15:43
Case234,Unit6100,1980,Resolved,Query,,24/05/2019 15:58
Case235,Unit3337,1890,Resolved,Query,,24/05/2019 16:09
Case236,Unit5422,1995,Resolved,Income,Account Enquiry,24/05/2019 16:24
Case237,Unit1349,2016,Resolved,ASB,,24/05/2019 18:00
Case238,Unit2215,,Resolved,Income,,28/05/2019 07:43
Case239,Unit1919,2013,Resolved,Query,,28/05/2019 07:46
Case240,Unit5812,1960,Resolved,Query,,28/05/2019 08:14
Case241,Unit366,1952,Resolved,ASB,,28/05/2019 08:22
Case242,Unit2523,1992,Resolved,Income,Account Enquiry,28/05/2019 08:23
Case243,Unit5592,2013,Resolved,Complaints,,28/05/2019 08:26
Case244,Unit9054,2017,Resolved,ASB,,28/05/2019 08:31
Case245,Unit5255,1900,Resolved,Query,,28/05/2019 08:46
Case246,Unit407,1976,Resolved,Query,,28/05/2019 08:49
Case247,Unit6066,1965,Resolved,Query,,28/05/2019 08:55
Case248,Unit9518,1950,Resolved,Query,,28/05/2019 09:15
Case249,Unit9284,1991,Resolved,ASB,,28/05/2019 09:23
Case250,Unit6567,2008,Resolved,Home Ownership,Lease Enquiry,28/05/2019 09:31
Case251,Unit47,1992,Resolved,Query,,28/05/2019 09:56
Case252,Unit1843,,Resolved,Query,,28/05/2019 09:59
Case253,Unit47,1992,Resolved,Query,,28/05/2019 10:02
Case254,Unit1689,2009,Resolved,Query,,28/05/2019 10:06
Case255,Unit7766,2008,Resolved,Income,Account Enquiry,28/05/2019 10:14
Case256,Unit4414,2013,Resolved,Query,,28/05/2019 10:27
Case257,Unit2368,1998,Resolved,Query,,28/05/2019 10:35
Case258,Unit7003,1720,Active,Home Ownership,Right To Acquire,28/05/2019 10:36
Case259,Unit5095,1985,Active,Query,,28/05/2019 10:37
Case260,Unit4250,1910,Resolved,Query,,28/05/2019 10:42
Case261,Unit94,1900,Resolved,Query,,28/05/2019 10:51
Case262,Unit3578,1950,Resolved,Query,,28/05/2019 10:54
Case263,Unit5768,2008,Resolved,Income,Account Enquiry,28/05/2019 11:22
Case264,Unit6466,2008,Resolved,Home Ownership,Home Improvement,28/05/2019 11:57
Case265,Unit8671,1993,Resolved,Complaints,,28/05/2019 12:10
Case266,Unit7328,1927,Resolved,Query,,28/05/2019 12:20
Case267,Unit9652,1995,Resolved,ASB,,28/05/2019 12:23
Case268,Unit391,1968,Resolved,Query,,28/05/2019 12:25
Case269,Unit4322,1968,Resolved,Query,,28/05/2019 12:26
Case270,Unit2318,2011,Resolved,Query,,28/05/2019 12:36
Case271,Unit14,2009,Resolved,Query,,28/05/2019 12:45
Case272,Unit2419,2011,Resolved,Query,,28/05/2019 12:49
Case273,Unit9604,1998,Resolved,Tenancy Visits,,28/05/2019 13:03
Case274,Unit475,2006,Resolved,ASB,,28/05/2019 13:21
Case275,Unit5297,2017,Active,Home Ownership,Up To You Resale,28/05/2019 13:26
Case276,Unit4140,2002,Resolved,Query,,28/05/2019 13:32
Case277,Unit8300,1992,Resolved,Possession,,28/05/2019 13:37
Case278,Unit3894,2002,Resolved,Complaints,,28/05/2019 13:43
Case279,Unit2588,,Resolved,Home Ownership,Staircasing,28/05/2019 13:58
Case280,Unit7481,1989,Resolved,Query,,28/05/2019 13:58
Case281,Unit6484,1950,Resolved,Query,,28/05/2019 14:12
Case282,Unit5700,1888,Resolved,Possession,,28/05/2019 14:15
Case283,Unit9729,2018,Resolved,Query,,28/05/2019 14:30
Case284,Unit3070,1986,Resolved,Query,,28/05/2019 14:41
Case285,Unit6148,1884,Resolved,Complaints,,28/05/2019 14:53
Case286,Unit2868,2014,Resolved,ASB,,28/05/2019 14:59
Case287,Unit7836,2006,Resolved,Query,,28/05/2019 15:09
Case288,Unit8651,1999,Resolved,Service Charges,Calculation/Apportionment Query,28/05/2019 15:17
Case289,Unit2440,2016,Resolved,Income,Account Enquiry,28/05/2019 15:34
Case290,Unit5110,1992,Resolved,Query,,28/05/2019 15:37
Case291,Unit9941,1996,Resolved,No Access,Gas,29/05/2019 06:00
Case292,Unit2672,1990,Resolved,No Access,Gas,29/05/2019 06:00
Case293,Unit2170,1900,Resolved,No Access,Gas,29/05/2019 06:00
Case294,Unit8041,1937,Resolved,No Access,Gas,29/05/2019 06:00
Case295,Unit7112,1950,Resolved,No Access,Gas,29/05/2019 06:00
Case296,Unit7677,2007,Resolved,No Access,Gas,29/05/2019 06:00
Case297,Unit6956,2007,Resolved,No Access,Gas,29/05/2019 06:01
Case298,Unit9262,1899,Resolved,No Access,Gas,29/05/2019 06:01
Case299,Unit7822,2013,Resolved,No Access,Gas,29/05/2019 06:01
Case300,Unit7930,2014,Resolved,No Access,Gas,29/05/2019 06:01
Case301,Unit4135,1910,Resolved,Home Ownership,Landlord Enquiry,29/05/2019 07:09
Case302,Unit7145,2008,Resolved,Home Ownership,Landlord Enquiry,29/05/2019 07:32
Case303,Unit9034,1949,Resolved,Home Ownership,Landlord Enquiry,29/05/2019 07:44
Case304,Unit8886,2008,Resolved,Complaints,,29/05/2019 07:55
Case305,Unit8122,2016,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 08:04
Case306,Unit4870,2017,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 08:06
Case307,Unit6539,1930,Resolved,Complaints,,29/05/2019 08:08
Case308,Unit8603,1910,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 08:10
Case309,Unit437,1940,Resolved,Query,,29/05/2019 09:02
Case310,Unit1426,2009,Resolved,Income,Account Enquiry,29/05/2019 09:05
Case311,Unit6957,2008,Resolved,Complaints,,29/05/2019 09:11
Case312,Unit6957,2008,Resolved,Query,,29/05/2019 09:18
Case313,Unit4462,2011,Resolved,Possession,,29/05/2019 09:21
Case314,Unit8171,1995,Resolved,Complaints,,29/05/2019 09:22
Case315,Unit1697,2001,Resolved,Query,,29/05/2019 09:34
Case316,Unit9397,1890,Active,Query,,29/05/2019 09:40
Case317,Unit2338,2012,Resolved,Home Ownership,Resales,29/05/2019 09:41
Case318,Unit3555,,Resolved,Income,Account Enquiry,29/05/2019 09:44
Case319,Unit4680,1990,Resolved,Query,,29/05/2019 10:11
Case320,Unit9957,1924,Resolved,Query,,29/05/2019 10:12
Case321,Unit3028,2014,Resolved,Query,,29/05/2019 10:17
Case322,Unit2884,2014,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 10:20
Case323,Unit3587,1993,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 10:33
Case324,Unit6979,2005,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 10:37
Case325,Unit7422,1910,Resolved,Complaints,,29/05/2019 10:39
Case326,Unit7810,1997,Resolved,Tenancy Change,,29/05/2019 10:49
Case327,Unit534,1960,Resolved,Complaints,,29/05/2019 10:49
Case328,Unit3891,2013,Resolved,Disrepair,Legal Disrepair,29/05/2019 10:56
Case329,Unit1409,2016,Resolved,Query,,29/05/2019 11:10
Case330,Unit6350,1900,Resolved,Query,,29/05/2019 11:18
Case331,Unit1925,1992,Resolved,Service Charges,Cost Dispute – Estate Services,29/05/2019 11:21
Case332,Unit9954,1992,Resolved,ASB,,29/05/2019 11:43
Case333,Unit852,1960,Resolved,Query,,29/05/2019 12:15
Case334,Unit4849,2016,Active,Home Ownership,Resales,29/05/2019 12:23
Case335,Unit9345,2001,Resolved,Income,Direct Debit Enquiry,29/05/2019 12:33
Case336,Unit127,1960,Resolved,Direct Maintenance,Supervisor Inspection,29/05/2019 12:36
Case337,Unit6841,2007,Resolved,Query,,29/05/2019 12:40
Case338,Unit8134,2000,Resolved,Home Ownership,Resales,29/05/2019 12:49
Case339,Unit3492,2015,Resolved,Query,,29/05/2019 13:03
Case340,Unit8790,1993,Resolved,Complaints,,29/05/2019 13:11
Case341,Unit387,1950,Resolved,Complaints,,29/05/2019 13:36
Case342,Unit8549,2017,Resolved,Complaints,,29/05/2019 13:40
Case343,Unit6663,2006,Resolved,Income,Account Enquiry,29/05/2019 13:44
Case344,Unit506,1960,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 13:44
Case345,Unit1345,2005,Resolved,Income,Account Enquiry,29/05/2019 14:01
Case346,Unit1553,1972,Resolved,Query,,29/05/2019 14:05
Case347,Unit1586,2014,Resolved,Query,,29/05/2019 14:08
Case348,Unit6484,1950,Resolved,Query,,29/05/2019 14:13
Case349,Unit6675,1997,Resolved,Tenancy Change,,29/05/2019 14:16
Case350,Unit1919,2013,Resolved,Home Ownership,Right To Acquire,29/05/2019 14:21
Case351,Unit3163,2016,Resolved,Service Charges,Calculation/Apportionment Query,29/05/2019 14:24
Case352,Unit4828,,Resolved,Income,Refund Enquiry,29/05/2019 14:24
Case353,Unit6971,1950,Resolved,Query,,29/05/2019 14:52
Case354,Unit4612,1910,Resolved,Income,Refund Enquiry,29/05/2019 15:13
Case355,Unit7649,1994,Resolved,Query,,29/05/2019 15:26
Case356,Unit2717,,Resolved,Service Charges,Invoice/Breakdown Request,29/05/2019 15:28
Case357,Unit3458,2014,Resolved,Query,,29/05/2019 15:36
Case358,Unit6755,1963,Active,Query,,29/05/2019 15:39
Case359,Unit3032,2005,Resolved,Query,,29/05/2019 16:21
Case360,Unit5915,2011,Resolved,Income,Refund Enquiry,29/05/2019 16:30
Case361,Unit6685,1954,Resolved,MP/Councillor Enquiry,Housing Management,30/05/2019 06:55
Case362,Unit7534,2014,Resolved,MP/Councillor Enquiry,Housing Management,30/05/2019 07:33
Case363,Unit4247,1980,Resolved,Complaints,,30/05/2019 08:14
Case364,Unit5221,1899,Resolved,Tenancy Change,,30/05/2019 08:20
Case365,Unit7449,1980,Resolved,Service Charges,Calculation/Apportionment Query,30/05/2019 08:24
Case366,Unit407,1976,Resolved,Direct Maintenance,Follow on,30/05/2019 08:30
Case367,Unit2069,2017,Resolved,Service Charges,Calculation/Apportionment Query,30/05/2019 08:31
Case368,Unit6205,1997,Resolved,Query,,30/05/2019 08:47
Case369,Unit6769,,Resolved,Home Ownership,Landlord Enquiry,30/05/2019 08:58
Case370,Unit2724,2011,Resolved,Home Ownership,Landlord Enquiry,30/05/2019 09:10
Case371,Unit5130,2019,Resolved,Query,,30/05/2019 09:24
Case372,Unit596,1969,Resolved,Query,,30/05/2019 09:51
Case373,Unit801,1955,Resolved,Query,,30/05/2019 09:58
Case374,Unit6555,1947,Resolved,ASB,,30/05/2019 10:00
Case375,Unit4319,1997,Resolved,Query,,30/05/2019 10:00
